name,poor,weak,moderate,long_lasting,very_long_lasting
BESTIA GENTILE: woody cologne FUMparFUM for men,0,0,0,0,1
Blur FUMparFUM for women and men,0,0,0,0,2
Clown FUMparFUM for women and men,0,0,0,0,0
Cuir Dandy FUMparFUM for women and men,0,0,1,0,0
Drama Queen FUMparFUM for women and men,0,0,0,0,0
Fall Mirror FUMparFUM for women and men,0,0,0,0,0
Figueres FUMparFUM for women and men,1,0,1,0,0
Golden Sawdust FUMparFUM for women and men,0,0,2,0,0
L'Artiste FUMparFUM for women and men,0,0,0,1,0
Old Piano FUMparFUM for women and men,0,0,1,0,0
Parisian FUMparFUM for women and men,0,0,0,0,0
The Priest FUMparFUM for women and men,0,0,1,0,0
Theatre Scent No 1 FUMparFUM for women and men,0,0,0,0,0
Theatre Scent No 2 FUMparFUM for women and men,0,0,0,0,0
Theatre Scent No 3 FUMparFUM for women and men,0,0,0,0,0
Theatre Scent No 4 FUMparFUM for women and men,0,0,1,1,1
Theatre Scent No 5 FUMparFUM for women and men,0,0,0,0,0
Voyageur FUMparFUM for women and men,0,0,0,0,0
Sainampüng The Fragrance Engineers for women,0,0,0,0,0
White Silk The Fragrance Engineers for women,0,0,0,0,0
Al Ghaliyah Al Shareef Oudh for women and men,0,0,0,0,0
Hekayat Al Shareef Oudh for women and men,0,0,0,0,0
Itr Al Ward Al Shareef Oudh for women and men,0,0,0,0,0
Kaashef Al Shareef Oudh for women and men,1,0,0,0,2
Mukhmal Al Shareef Oudh for women and men,0,0,0,0,0
Saqr Al Shareef Oudh for women and men,0,0,0,0,1
Saqr II Al Shareef Oudh for women and men,0,0,0,0,0
Turath I Al Shareef Oudh for women and men,0,0,0,0,0
Turath II Al Shareef Oudh for women and men,0,0,0,0,0
Ward Al Shareef Oudh for women and men,0,0,0,1,0
Yaqoot Al Shareef Oudh for women and men,0,0,0,0,0
Yasameen Al Shareef Oudh for women and men,1,0,0,1,0
Intrigue de l’Amour 12 Parfumeurs Francais for women,0,0,0,0,0
Intrigues des Hommes 12 Parfumeurs Francais for men,0,0,0,0,1
La Destinee 12 Parfumeurs Francais for women,0,0,0,1,0
Le Charme 12 Parfumeurs Francais for women,0,0,0,0,0
Le Charmeur 12 Parfumeurs Francais for men,0,0,0,0,1
Le Fantome 12 Parfumeurs Francais for men,0,0,1,0,0
Ma Reine 12 Parfumeurs Francais for women,0,0,1,0,0
Mon Amour 12 Parfumeurs Francais for women,0,0,1,0,0
Mon Cher 12 Parfumeurs Francais for men,0,0,0,0,1
Mon Roi 12 Parfumeurs Francais for men,0,0,0,0,0
Secret de l’Amour 12 Parfumeurs Francais for women,0,0,0,1,0
Secrets des Hommes 12 Parfumeurs Francais for men,0,1,1,0,0
Beauty Cafe Faberlic for women,0,0,3,0,0
Citronica Faberlic for women,0,1,0,0,0
Intense Faberlic for men,0,0,0,0,0
Orangerie Lei Faberlic for women,0,0,0,0,0
Orangerie Neroli Faberlic for women,1,1,0,0,0
Pulse Faberlic for men,0,0,0,0,0
Souvenir Faberlic for women,0,0,0,0,0
Kar.ribe 01 Kar.ribe for women,0,0,0,0,0
Fragrance №01 Nikkos-Oskol Fragrance for women and men,0,0,0,0,0
Fragrance №05 Nikkos-Oskol Fragrance for women and men,0,0,0,0,0
Fragrance №10 Nikkos-Oskol Fragrance for women and men,0,0,0,0,0
Fragrance №11 Nikkos-Oskol Fragrance for women and men,1,0,1,0,0
Fragrance №12 Nikkos-Oskol Fragrance for women and men,0,0,0,1,0
Fragrance №13 Nikkos-Oskol Fragrance for women and men,0,0,0,1,0
Fragrance №14 Nikkos-Oskol Fragrance for women and men,0,0,0,0,0
Fragrance №15 Nikkos-Oskol Fragrance for women and men,0,0,0,1,0
Fragrance №21 Nikkos-Oskol Fragrance for women and men,0,0,0,0,0
Pandora #1 Pandora for women,0,0,0,0,0
